site,lat,long,year,month,vpdmax
BM,36.06,-118.39,1924,10,7.77699995040894
BM,36.06,-118.39,1924,11,7.19199991226196
BM,36.06,-118.39,1924,12,3.80800008773804
BM,36.06,-118.39,1925,1,4.85099983215332
BM,36.06,-118.39,1925,2,4.50400018692017
BM,36.06,-118.39,1925,3,6.39099979400635
BM,36.06,-118.39,1925,4,6.99200010299683
BM,36.06,-118.39,1925,5,9.49100017547607
BM,36.06,-118.39,1925,6,13.0430002212524
BM,36.06,-118.39,1925,7,17.2740001678467
BM,36.06,-118.39,1925,8,15.5530004501343
BM,36.06,-118.39,1925,9,10.2869997024536
BM,36.06,-118.39,1925,10,8.47299957275391
BM,36.06,-118.39,1925,11,7.43599987030029
BM,36.06,-118.39,1925,12,7.86299991607666
BM,36.06,-118.39,1926,1,6.8899998664856
BM,36.06,-118.39,1926,2,5.80600023269653
BM,36.06,-118.39,1926,3,7.92199993133545
BM,36.06,-118.39,1926,4,7.49900007247925
BM,36.06,-118.39,1926,5,10.4309997558594
BM,36.06,-118.39,1926,6,18.943000793457
BM,36.06,-118.39,1926,7,19.0349998474121
BM,36.06,-118.39,1926,8,18.3199996948242
BM,36.06,-118.39,1926,9,13.0880002975464
BM,36.06,-118.39,1926,10,11.1000003814697
BM,36.06,-118.39,1926,11,8.88799953460693
BM,36.06,-118.39,1926,12,3.82500004768372
BM,36.06,-118.39,1927,1,4.59999990463257
BM,36.06,-118.39,1927,2,3.12400007247925
BM,36.06,-118.39,1927,3,5.02099990844727
BM,36.06,-118.39,1927,4,6.79500007629395
BM,36.06,-118.39,1927,5,9.37600040435791
BM,36.06,-118.39,1927,6,14.5200004577637
BM,36.06,-118.39,1927,7,18.0359992980957
BM,36.06,-118.39,1927,8,17.113000869751
BM,36.06,-118.39,1927,9,10.6420001983643
BM,36.06,-118.39,1927,10,12.3920001983643
BM,36.06,-118.39,1927,11,8.69099998474121
BM,36.06,-118.39,1927,12,6.06500005722046
BM,36.06,-118.39,1928,1,8.62899971008301
BM,36.06,-118.39,1928,2,6.77299976348877
BM,36.06,-118.39,1928,3,7.03299999237061
BM,36.06,-118.39,1928,4,7.92199993133545
BM,36.06,-118.39,1928,5,11.7829999923706
BM,36.06,-118.39,1928,6,15.3030004501343
BM,36.06,-118.39,1928,7,17.8950004577637
BM,36.06,-118.39,1928,8,18.8430004119873
BM,36.06,-118.39,1928,9,17.0440006256104
BM,36.06,-118.39,1928,10,10.7810001373291
BM,36.06,-118.39,1928,11,8.92199993133545
BM,36.06,-118.39,1928,12,6.95100021362305
BM,36.06,-118.39,1929,1,6.07100009918213
BM,36.06,-118.39,1929,2,5.26800012588501
BM,36.06,-118.39,1929,3,6.7960000038147
BM,36.06,-118.39,1929,4,6.11100006103516
BM,36.06,-118.39,1929,5,11.6829996109009
BM,36.06,-118.39,1929,6,13.5710000991821
BM,36.06,-118.39,1929,7,16.4139995574951
BM,36.06,-118.39,1929,8,19.9640007019043
BM,36.06,-118.39,1929,9,14.0050001144409
BM,36.06,-118.39,1929,10,12.4060001373291
BM,36.06,-118.39,1929,11,12.3540000915527
BM,36.06,-118.39,1929,12,11.0080003738403
BM,36.06,-118.39,1930,1,4.84200000762939
BM,36.06,-118.39,1930,2,7.51000022888184
BM,36.06,-118.39,1930,3,6.82999992370605
BM,36.06,-118.39,1930,4,7.86600017547607
BM,36.06,-118.39,1930,5,6.27699995040894
BM,36.06,-118.39,1930,6,16.1310005187988
BM,36.06,-118.39,1930,7,18.2759990692139
BM,36.06,-118.39,1930,8,17.0590000152588
BM,36.06,-118.39,1930,9,9.21300029754639
BM,36.06,-118.39,1930,10,10.5590000152588
BM,36.06,-118.39,1930,11,8.37600040435791
BM,36.06,-118.39,1930,12,8.9689998626709
BM,36.06,-118.39,1931,1,6.26000022888184
BM,36.06,-118.39,1931,2,4.38299989700317
BM,36.06,-118.39,1931,3,8.24899959564209
BM,36.06,-118.39,1931,4,11.5249996185303
BM,36.06,-118.39,1931,5,13.1890001296997
BM,36.06,-118.39,1931,6,11.3929996490479
BM,36.06,-118.39,1931,7,22.8169994354248
BM,36.06,-118.39,1931,8,20.19700050354
BM,36.06,-118.39,1931,9,12.5620002746582
BM,36.06,-118.39,1931,10,9.79199981689453
BM,36.06,-118.39,1931,11,7.10400009155273
BM,36.06,-118.39,1931,12,5.32499980926514
BM,36.06,-118.39,1932,1,4.81400012969971
BM,36.06,-118.39,1932,2,5.10699987411499
BM,36.06,-118.39,1932,3,7.55900001525879
BM,36.06,-118.39,1932,4,7.18400001525879
BM,36.06,-118.39,1932,5,8.61100006103516
BM,36.06,-118.39,1932,6,15.4910001754761
BM,36.06,-118.39,1932,7,16.5020008087158
BM,36.06,-118.39,1932,8,17.7409992218018
BM,36.06,-118.39,1932,9,16.7210006713867
BM,36.06,-118.39,1932,10,11.3140001296997
BM,36.06,-118.39,1932,11,10.9029998779297
BM,36.06,-118.39,1932,12,4.92600011825562
BM,36.06,-118.39,1933,1,5.44700002670288
BM,36.06,-118.39,1933,2,5.48799991607666
BM,36.06,-118.39,1933,3,7.14400005340576
BM,36.06,-118.39,1933,4,7.76800012588501
BM,36.06,-118.39,1933,5,6.10500001907349
BM,36.06,-118.39,1933,6,12.9259996414185
BM,36.06,-118.39,1933,7,19.871000289917
BM,36.06,-118.39,1933,8,18.6189994812012
BM,36.06,-118.39,1933,9,13.6079998016357
BM,36.06,-118.39,1933,10,14.1409997940063
BM,36.06,-118.39,1933,11,11.1560001373291
BM,36.06,-118.39,1933,12,8.21500015258789
BM,36.06,-118.39,1934,1,8.01000022888184
BM,36.06,-118.39,1934,2,6.07399988174438
BM,36.06,-118.39,1934,3,10.9870004653931
BM,36.06,-118.39,1934,4,12.1929998397827
BM,36.06,-118.39,1934,5,12.1180000305176
BM,36.06,-118.39,1934,6,11.1339998245239
BM,36.06,-118.39,1934,7,17.3950004577637
BM,36.06,-118.39,1934,8,18.6620006561279
BM,36.06,-118.39,1934,9,15.0609998703003
BM,36.06,-118.39,1934,10,11.2239999771118
BM,36.06,-118.39,1934,11,7.97200012207031
BM,36.06,-118.39,1934,12,6.41300010681152
BM,36.06,-118.39,1935,1,5.95800018310547
BM,36.06,-118.39,1935,2,6.19399976730347
BM,36.06,-118.39,1935,3,6.0019998550415
BM,36.06,-118.39,1935,4,6.24100017547607
BM,36.06,-118.39,1935,5,8.94400024414062
BM,36.06,-118.39,1935,6,17.6879997253418
BM,36.06,-118.39,1935,7,16.4290008544922
BM,36.06,-118.39,1935,8,19.2140007019043
BM,36.06,-118.39,1935,9,17.3929996490479
BM,36.06,-118.39,1935,10,9.15999984741211
BM,36.06,-118.39,1935,11,8.4060001373291
BM,36.06,-118.39,1935,12,7.01599979400635
BM,36.06,-118.39,1936,1,6.49100017547607
BM,36.06,-118.39,1936,2,4.88700008392334
BM,36.06,-118.39,1936,3,9.24400043487549
BM,36.06,-118.39,1936,4,9.4060001373291
BM,36.06,-118.39,1936,5,12.246000289917
BM,36.06,-118.39,1936,6,15.5290002822876
BM,36.06,-118.39,1936,7,17.5380001068115
BM,36.06,-118.39,1936,8,20.3619995117188
BM,36.06,-118.39,1936,9,16.4610004425049
BM,36.06,-118.39,1936,10,11.3430004119873
BM,36.06,-118.39,1936,11,12.3649997711182
BM,36.06,-118.39,1936,12,6.36299991607666
BM,36.06,-118.39,1937,1,3.33699989318848
BM,36.06,-118.39,1937,2,5.76399993896484
BM,36.06,-118.39,1937,3,7.2350001335144
BM,36.06,-118.39,1937,4,7.21299982070923
