site,lat,long,year,month,ppt
BM,36.06,-118.39,1915,10,0
BM,36.06,-118.39,1915,11,28.5499992370605
BM,36.06,-118.39,1915,12,139.14599609375
BM,36.06,-118.39,1916,1,494.342987060547
BM,36.06,-118.39,1916,2,118.182998657227
BM,36.06,-118.39,1916,3,135.337005615234
BM,36.06,-118.39,1916,4,26.7889995574951
BM,36.06,-118.39,1916,5,17.3640003204346
BM,36.06,-118.39,1916,6,0
BM,36.06,-118.39,1916,7,15.8559999465942
BM,36.06,-118.39,1916,8,16.8959999084473
BM,36.06,-118.39,1916,9,11.2049999237061
BM,36.06,-118.39,1916,10,78.4800033569336
BM,36.06,-118.39,1916,11,38.5219993591309
BM,36.06,-118.39,1916,12,172.628997802734
BM,36.06,-118.39,1917,1,45.6469993591309
BM,36.06,-118.39,1917,2,209.47200012207
BM,36.06,-118.39,1917,3,45.9640007019043
BM,36.06,-118.39,1917,4,27.5809993743896
BM,36.06,-118.39,1917,5,30.8810005187988
BM,36.06,-118.39,1917,6,0
BM,36.06,-118.39,1917,7,31.128999710083
BM,36.06,-118.39,1917,8,7.28299999237061
BM,36.06,-118.39,1917,9,0.279000014066696
BM,36.06,-118.39,1917,10,0.120999999344349
BM,36.06,-118.39,1917,11,26.5669994354248
BM,36.06,-118.39,1917,12,25.4619998931885
BM,36.06,-118.39,1918,1,18.7719993591309
BM,36.06,-118.39,1918,2,207.901992797852
BM,36.06,-118.39,1918,3,240.289993286133
BM,36.06,-118.39,1918,4,8.39599990844727
BM,36.06,-118.39,1918,5,25.7360000610352
BM,36.06,-118.39,1918,6,6.68499994277954
BM,36.06,-118.39,1918,7,33.7080001831055
BM,36.06,-118.39,1918,8,6.99700021743774
BM,36.06,-118.39,1918,9,35.8819999694824
BM,36.06,-118.39,1918,10,21.7360000610352
BM,36.06,-118.39,1918,11,95.8079986572266
BM,36.06,-118.39,1918,12,56.6370010375977
BM,36.06,-118.39,1919,1,30.0470008850098
BM,36.06,-118.39,1919,2,216.13200378418
BM,36.06,-118.39,1919,3,121.596000671387
BM,36.06,-118.39,1919,4,6.61800003051758
BM,36.06,-118.39,1919,5,40.7410011291504
BM,36.06,-118.39,1919,6,0
BM,36.06,-118.39,1919,7,11.3599996566772
BM,36.06,-118.39,1919,8,0
BM,36.06,-118.39,1919,9,29.2910003662109
BM,36.06,-118.39,1919,10,17.0779991149902
BM,36.06,-118.39,1919,11,26.6240005493164
BM,36.06,-118.39,1919,12,127.713996887207
BM,36.06,-118.39,1923,1,136.921005249023
BM,36.06,-118.39,1923,2,27.0790004730225
BM,36.06,-118.39,1923,3,14.3100004196167
BM,36.06,-118.39,1923,4,160.858993530273
BM,36.06,-118.39,1923,5,27.431999206543
BM,36.06,-118.39,1923,6,11.0670003890991
BM,36.06,-118.39,1923,7,2.75
BM,36.06,-118.39,1923,8,2.79900002479553
BM,36.06,-118.39,1923,9,26.9780006408691
BM,36.06,-118.39,1923,10,15.1090002059937
BM,36.06,-118.39,1923,11,10.1920003890991
BM,36.06,-118.39,1923,12,31.5960006713867
BM,36.06,-118.39,1924,1,51.6459999084473
BM,36.06,-118.39,1924,2,23.0300006866455
BM,36.06,-118.39,1924,3,128.824996948242
BM,36.06,-118.39,1924,4,34.5909996032715
BM,36.06,-118.39,1924,5,8.36699962615967
BM,36.06,-118.39,1924,6,0
BM,36.06,-118.39,1924,7,0
BM,36.06,-118.39,1924,8,0
BM,36.06,-118.39,1924,9,0
BM,36.06,-118.39,1924,10,56.8940010070801
BM,36.06,-118.39,1924,11,83.7929992675781
BM,36.06,-118.39,1924,12,147.352996826172
BM,36.06,-118.39,1925,1,43.5069999694824
BM,36.06,-118.39,1925,2,180.296005249023
BM,36.06,-118.39,1925,3,120.305999755859
BM,36.06,-118.39,1925,4,87.4660034179688
BM,36.06,-118.39,1925,5,49.2299995422363
BM,36.06,-118.39,1925,6,17.2119998931885
BM,36.06,-118.39,1925,7,42.5499992370605
BM,36.06,-118.39,1925,8,8.42700004577637
