year,summer_ppt,summer_tmin,summer_tmax,summer_tmean,summer_td_mean,summer_vpdmin,summer_vpdmax
1916,43.9569997787476,6.518000125885007,17.581500291824323,12.049250841140736,-0.5864999890327451,3.9494999647140525,14.788000106811525
1917,38.69099971652031,6.45450007915497,19.912750244140625,13.18350052833555,0.04449999332428001,3.2677499651908875,17.731249809265126
1918,83.27200031280518,7.3014999628067025,19.102250099182125,13.201500415802,0.547249976545574,3.6922500729560825,16.09524965286255
1919,40.6510000228881,7.565750122070315,18.9902503490448,13.277750492095924,-0.4139999896287915,4.4559999108314505,16.4999997615814
1920,46.425998926162656,6.890500068664553,17.8152503967285,12.352500438690196,-0.19349998235702498,3.9222499728202824,15.080749988555926
1921,28.36300039291379,7.312249839305885,18.62400007247925,12.967750787734978,-0.08725000917911524,4.060000002384185,16.436000108718876
1922,43.47200059890751,7.705500006675722,19.262749671936024,13.483750820159925,0.22725003957748746,4.056750059127808,16.587249755859375
1923,43.59400105476373,6.7812498807907176,16.751749992370623,11.766000628471392,0.06550000607967277,3.8564999103546125,13.189500093460095
1924,0,6.484749913215637,18.782999992370623,12.633500576019276,-0.6762499660253547,3.712750017642975,16.52149987220765
1925,68.18899917602536,5.2399999499320975,17.16849970817565,11.203500747680653,0.19500002264976374,2.6119999289512625,14.039250135421751
1926,9.38199996948242,7.6727500557899475,19.211499691009525,13.4417505264282,-0.43074998259544284,4.480500042438507,17.346500158309926
1927,4.935000160243367,5.2664999961853,17.5747504234314,11.42025077342986,-0.311750024557116,2.7857500314712524,15.077750205993675
1928,0,5.902999997138977,19.109749794006376,12.50575041770935,-0.5035000145435343,3.5185000300407427,17.271250486373926
1929,60.25700092315675,6.191499948501585,18.537500381469727,12.36425065994262,0.22174999117851246,3.190750032663345,15.988500118255601
1930,14.6920003890991,5.586499929428101,17.907250642776475,11.746750354766826,-0.05324998497962746,2.976500034332275,15.169749975204471
1931,70.24999833107002,6.862249970436082,18.751000165939324,12.806000709533699,0.5770000144839282,3.5495000481605525,16.742249965667725
1932,10.083000339567667,6.508749961853026,19.342999935150125,12.925250768661499,-0.11574999988079104,3.8007498979568477,16.6137502193451
1933,10.549999702721822,7.137000143527975,18.821999549865726,12.978750705718998,-0.21424999833106995,4.217749953269958,16.255999803543098
1934,24.527000427246048,6.64574998617172,18.212250471115127,12.42875051498411,0.2752499878406506,3.5214999616146074,15.56300020217895
1935,31.00899921357635,6.30050003528595,20.0197501182556,13.159500598907474,0.08750003576279003,3.2519999742507926,17.68100023269655
1936,35.4939994812012,6.9469997882843,20.081500053405776,13.5135006904602,0.4822500199079543,3.1067498922348,17.4725000858307
1937,6.526000097393988,7.25175005197525,19.389750003814676,13.320250511169425,0.28275001049041554,3.7282499969005602,17.356499671936024
1938,49.66600131988525,7.071499943733217,19.66724967956545,13.3685007095337,0.440250039100647,3.52174997329712,17.407750129699725
1939,71.4960007667541,6.6804999113082895,19.8919997215271,13.285500764846825,0.40975001454353427,3.5655000209808376,17.44950008392335
1940,0,6.872999906539917,19.526250123977675,13.199250698089605,0.45900000631809346,3.8155000209808376,17.55775022506715
1941,25.591000213287725,6.32400000095367,17.14625000953675,11.734500646591192,0.23450000584125597,3.6949999034404777,13.928499937057499
1942,23.0139999389648,5.681750059127805,19.37649965286255,12.528750419616715,0.329000025987625,3.39050006866455,16.334000110626224
1943,0,4.75349982082844,18.66050004959105,11.706500530242916,0.5370000004768386,2.2779999524354935,16.254499912261977
1944,9.67899990081787,3.8194999806582945,17.955499649047848,10.88675057888032,-0.807500004768372,2.309500001370909,16.9064998626709
1945,55.787001609802246,5.69675016403198,19.684999942779577,12.690500736236576,0.25149996578693445,3.397000014781955,15.731249570846575
1946,20.82200050354,5.36625000834464,19.4587502479553,12.412000656127933,0.37700003385543995,2.9930000305175772,16.335499525070198
1947,7.57400012016296,3.7900000214576726,18.994999885559075,11.392000675201402,0.5237499997019772,1.8417500108480453,15.6105000972748
1948,3.54999995231628,5.099500000476835,19.0167498588562,12.057500362396235,-0.2607499957084666,3.178999975323678,15.916749715805075
1949,5.27299976348877,5.41025000810623,19.378249645233176,12.393500566482551,0.7972499877214443,2.7324999570846575,15.9082498550415
1950,9.590999841690067,5.345999956130981,19.382250308990475,12.363500595092773,0.23475001007318402,2.752250015735625,16.539249897003174
1951,7.014000000432134,5.7677499651908875,20.470499992370627,13.118750810623176,-0.15775001887232154,3.0294999778270726,18.0772500038147
