site,lat,long,year,month,tmax
BM,36.06,-118.39,1997,9,17.9930000305176
BM,36.06,-118.39,1997,10,13.1339998245239
BM,36.06,-118.39,1997,11,7.84000015258789
BM,36.06,-118.39,1997,12,3.09299993515015
BM,36.06,-118.39,1998,1,4.34800004959106
BM,36.06,-118.39,1998,2,1.25199997425079
BM,36.06,-118.39,1998,3,5.38000011444092
BM,36.06,-118.39,1998,4,5.63800001144409
BM,36.06,-118.39,1998,5,6.82000017166138
BM,36.06,-118.39,1998,6,14.25
BM,36.06,-118.39,1998,7,21.4979991912842
BM,36.06,-118.39,1998,8,23.9080009460449
BM,36.06,-118.39,1998,9,16.617000579834
BM,36.06,-118.39,1998,10,11.9069995880127
BM,36.06,-118.39,1998,11,7.19799995422363
BM,36.06,-118.39,1998,12,4.76999998092651
BM,36.06,-118.39,1999,1,6.38000011444092
BM,36.06,-118.39,1999,2,5.03499984741211
BM,36.06,-118.39,1999,3,5.27600002288818
BM,36.06,-118.39,1999,4,5.71600008010864
BM,36.06,-118.39,1999,5,12.2749996185303
BM,36.06,-118.39,1999,6,17.0590000152588
BM,36.06,-118.39,1999,7,21.503999710083
BM,36.06,-118.39,1999,8,21.4209995269775
BM,36.06,-118.39,1999,9,20.3169994354248
BM,36.06,-118.39,1999,10,19.1569995880127
BM,36.06,-118.39,1999,11,11.7799997329712
BM,36.06,-118.39,1999,12,7.45599985122681
BM,36.06,-118.39,2000,1,5.51700019836426
BM,36.06,-118.39,2000,2,4.84000015258789
BM,36.06,-118.39,2000,3,6.87799978256226
BM,36.06,-118.39,2000,4,13.1309995651245
BM,36.06,-118.39,2000,5,16.9599990844727
BM,36.06,-118.39,2000,6,22.0639991760254
BM,36.06,-118.39,2000,7,22.988000869751
BM,36.06,-118.39,2000,8,23.7220001220703
BM,36.06,-118.39,2000,9,20.7980003356934
BM,36.06,-118.39,2000,10,12.8800001144409
BM,36.06,-118.39,2000,11,5.84899997711182
BM,36.06,-118.39,2000,12,8.42800045013428
BM,36.06,-118.39,2001,1,3.06900000572205
BM,36.06,-118.39,2001,2,2.24399995803833
BM,36.06,-118.39,2001,3,7.83699989318848
BM,36.06,-118.39,2001,4,8.87899971008301
BM,36.06,-118.39,2001,5,19.1389999389648
BM,36.06,-118.39,2001,6,21.9270000457764
BM,36.06,-118.39,2001,7,22.1959991455078
BM,36.06,-118.39,2001,8,26.0499992370605
BM,36.06,-118.39,2001,9,22.3040008544922
BM,36.06,-118.39,2001,10,18.5610008239746
BM,36.06,-118.39,2001,11,8.50100040435791
BM,36.06,-118.39,2001,12,3.63800001144409
BM,36.06,-118.39,2002,1,5.625
BM,36.06,-118.39,2002,2,8.17700004577637
BM,36.06,-118.39,2002,3,5.80700016021729
BM,36.06,-118.39,2002,4,12.0620002746582
BM,36.06,-118.39,2002,5,14.8039999008179
BM,36.06,-118.39,2002,6,19.8360004425049
BM,36.06,-118.39,2002,7,25.2709999084473
BM,36.06,-118.39,2002,8,24.8199996948242
BM,36.06,-118.39,2002,9,21.3419990539551
BM,36.06,-118.39,2002,10,14.6389999389648
BM,36.06,-118.39,2002,11,9.85900020599365
BM,36.06,-118.39,2002,12,3.29900002479553
BM,36.06,-118.39,2003,1,10.0909996032715
BM,36.06,-118.39,2003,2,4.625
BM,36.06,-118.39,2003,3,6.95800018310547
BM,36.06,-118.39,2003,4,6.39400005340576
BM,36.06,-118.39,2003,5,15.0209999084473
BM,36.06,-118.39,2003,6,21.992000579834
BM,36.06,-118.39,2003,7,24.9349994659424
BM,36.06,-118.39,2003,8,23.4039993286133
BM,36.06,-118.39,2003,9,22.5400009155273
BM,36.06,-118.39,2003,10,19.94700050354
BM,36.06,-118.39,2003,11,5.76800012588501
BM,36.06,-118.39,2003,12,4.57200002670288
BM,36.06,-118.39,2004,1,5.05700016021729
BM,36.06,-118.39,2004,2,2.51999998092651
BM,36.06,-118.39,2004,3,11.4689998626709
BM,36.06,-118.39,2004,4,12.0839996337891
BM,36.06,-118.39,2004,5,16.0669994354248
BM,36.06,-118.39,2004,6,21.4699993133545
BM,36.06,-118.39,2004,7,23.0249996185303
BM,36.06,-118.39,2004,8,23.1760005950928
