site,lat,long,year,month,td_mean
BM,36.06,-118.39,1914,9,-2.6489999294281
BM,36.06,-118.39,1914,10,-5.17600011825562
BM,36.06,-118.39,1914,11,-10.0109996795654
BM,36.06,-118.39,1914,12,-12.3950004577637
BM,36.06,-118.39,1915,1,-11.8690004348755
BM,36.06,-118.39,1915,2,-8.20899963378906
BM,36.06,-118.39,1915,3,-9.15100002288818
BM,36.06,-118.39,1915,4,-6.9229998588562
BM,36.06,-118.39,1915,5,-4.39200019836426
BM,36.06,-118.39,1915,6,-2.26699995994568
BM,36.06,-118.39,1915,7,2.15300011634827
BM,36.06,-118.39,1915,8,0.994000017642975
BM,36.06,-118.39,1915,9,-2.76099991798401
BM,36.06,-118.39,1915,10,-7.57200002670288
BM,36.06,-118.39,1915,11,-9.72799968719482
BM,36.06,-118.39,1915,12,-10.9420003890991
BM,36.06,-118.39,1916,1,-12.1370000839233
BM,36.06,-118.39,1916,2,-8.08600044250488
BM,36.06,-118.39,1916,3,-9.29500007629395
BM,36.06,-118.39,1916,4,-8.88099956512451
BM,36.06,-118.39,1916,5,-6.67700004577637
BM,36.06,-118.39,1916,6,-2.41599988937378
BM,36.06,-118.39,1916,7,1.55099999904633
BM,36.06,-118.39,1916,8,1.05499994754791
BM,36.06,-118.39,1916,9,-2.53600001335144
BM,36.06,-118.39,1916,10,-6.63700008392334
BM,36.06,-118.39,1916,11,-11.7069997787476
BM,36.06,-118.39,1916,12,-13.2740001678467
BM,36.06,-118.39,1917,1,-15.0419998168945
BM,36.06,-118.39,1917,2,-11.1960000991821
BM,36.06,-118.39,1917,3,-13.7799997329712
BM,36.06,-118.39,1917,4,-9.89900016784668
BM,36.06,-118.39,1917,5,-6.25400018692017
BM,36.06,-118.39,1917,6,-2.13199996948242
BM,36.06,-118.39,1917,7,2.93499994277954
BM,36.06,-118.39,1917,8,1.27699995040894
BM,36.06,-118.39,1917,9,-1.90199995040894
BM,36.06,-118.39,1917,10,-6.62400007247925
BM,36.06,-118.39,1917,11,-8.9069995880127
BM,36.06,-118.39,1917,12,-11.3199996948242
BM,36.06,-118.39,1918,1,-12.5080003738403
BM,36.06,-118.39,1918,2,-10.4479999542236
BM,36.06,-118.39,1918,3,-9.0310001373291
BM,36.06,-118.39,1918,4,-9.2819995880127
BM,36.06,-118.39,1918,5,-6.44999980926514
