site,lat,long,year,month,tmin
BM,36.06,-118.39,1925,7,7.9520001411438
BM,36.06,-118.39,1925,8,5.91699981689453
BM,36.06,-118.39,1925,9,3.63299989700317
BM,36.06,-118.39,1925,10,-1.4650000333786
BM,36.06,-118.39,1925,11,-1.60199999809265
BM,36.06,-118.39,1925,12,-3.76799988746643
BM,36.06,-118.39,1926,1,-6.67899990081787
BM,36.06,-118.39,1926,2,-5.26399993896484
BM,36.06,-118.39,1926,3,-4.86100006103516
BM,36.06,-118.39,1926,4,-1.79900002479553
BM,36.06,-118.39,1926,5,1.53400003910065
BM,36.06,-118.39,1926,6,9.50399971008301
BM,36.06,-118.39,1926,7,9.20400047302246
BM,36.06,-118.39,1926,8,9.43900012969971
BM,36.06,-118.39,1926,9,2.54399991035461
BM,36.06,-118.39,1926,10,0.795000016689301
BM,36.06,-118.39,1926,11,-1.43299996852875
BM,36.06,-118.39,1926,12,-7.68100023269653
BM,36.06,-118.39,1929,1,-9.49400043487549
BM,36.06,-118.39,1929,2,-11.5539999008179
BM,36.06,-118.39,1929,3,-8.43200016021729
BM,36.06,-118.39,1929,4,-6.9850001335144
BM,36.06,-118.39,1929,5,-1.23099994659424
BM,36.06,-118.39,1929,6,2.44000005722046
BM,36.06,-118.39,1929,7,7.84499979019165
BM,36.06,-118.39,1929,8,9.6269998550415
BM,36.06,-118.39,1929,9,4.85400009155273
BM,36.06,-118.39,1929,10,1.28999996185303
BM,36.06,-118.39,1929,11,-3.59400010108948
BM,36.06,-118.39,1929,12,-3.03099989891052
BM,36.06,-118.39,1930,1,-9.92899990081787
BM,36.06,-118.39,1930,2,-6.71099996566772
BM,36.06,-118.39,1930,3,-6.30100011825562
BM,36.06,-118.39,1930,4,-3.65100002288818
BM,36.06,-118.39,1930,5,-3.68700003623962
BM,36.06,-118.39,1930,6,4.21000003814697
BM,36.06,-118.39,1930,7,7.5939998626709
BM,36.06,-118.39,1930,8,7.92999982833862
BM,36.06,-118.39,1930,9,2.61199998855591
BM,36.06,-118.39,1930,10,-0.717999994754791
BM,36.06,-118.39,1930,11,-3.27600002288818
BM,36.06,-118.39,1930,12,-6.38100004196167
BM,36.06,-118.39,1932,1,-11.91100025177
BM,36.06,-118.39,1932,2,-10.0740003585815
BM,36.06,-118.39,1932,3,-6.58500003814697
BM,36.06,-118.39,1932,4,-5.66400003433228
BM,36.06,-118.39,1932,5,-2.02900004386902
BM,36.06,-118.39,1932,6,3.65700006484985
BM,36.06,-118.39,1932,7,7.57399988174438
BM,36.06,-118.39,1932,8,7.77899980545044
BM,36.06,-118.39,1932,9,7.02500009536743
BM,36.06,-118.39,1932,10,0.228000000119209
BM,36.06,-118.39,1932,11,-0.531000018119812
BM,36.06,-118.39,1932,12,-9.68599987030029
BM,36.06,-118.39,1934,1,-6.75699996948242
BM,36.06,-118.39,1934,2,-6.40500020980835
BM,36.06,-118.39,1934,3,-2.96300005912781
BM,36.06,-118.39,1934,4,-1.50100004673004
BM,36.06,-118.39,1934,5,1.37899994850159
BM,36.06,-118.39,1934,6,2.60899996757507
BM,36.06,-118.39,1934,7,8.21700000762939
BM,36.06,-118.39,1934,8,9.52799987792969
BM,36.06,-118.39,1934,9,6.22900009155273
BM,36.06,-118.39,1934,10,0.973999977111816
BM,36.06,-118.39,1934,11,-2.83999991416931
BM,36.06,-118.39,1934,12,-5.4539999961853
BM,36.06,-118.39,1935,1,-8.76399993896484
BM,36.06,-118.39,1935,2,-7.59700012207031
BM,36.06,-118.39,1935,3,-9.51200008392334
BM,36.06,-118.39,1935,4,-4.18300008773804
BM,36.06,-118.39,1935,5,-1.36600005626678
BM,36.06,-118.39,1935,6,5.07299995422363
BM,36.06,-118.39,1935,7,6.03299999237061
BM,36.06,-118.39,1935,8,8.1870002746582
BM,36.06,-118.39,1935,9,5.90899991989136
BM,36.06,-118.39,1935,10,-1.34399998188019
BM,36.06,-118.39,1935,11,-4.97300004959106
BM,36.06,-118.39,1935,12,-5.5019998550415
BM,36.06,-118.39,1937,1,-15.4879999160767
BM,36.06,-118.39,1937,2,-9.58399963378906
BM,36.06,-118.39,1937,3,-8.10099983215332
BM,36.06,-118.39,1937,4,-5.63299989700317
BM,36.06,-118.39,1937,5,-0.421999990940094
BM,36.06,-118.39,1937,6,3.67300009727478
BM,36.06,-118.39,1937,7,8.88300037384033
BM,36.06,-118.39,1937,8,9.52099990844727
BM,36.06,-118.39,1937,9,6.92999982833862
BM,36.06,-118.39,1937,10,0.981000006198883
BM,36.06,-118.39,1937,11,-2.64499998092651
BM,36.06,-118.39,1937,12,-4.27400016784668
BM,36.06,-118.39,1938,1,-6.61999988555908
BM,36.06,-118.39,1938,2,-9.64200019836426
BM,36.06,-118.39,1938,3,-9.40900039672852
BM,36.06,-118.39,1938,4,-5.19500017166138
BM,36.06,-118.39,1938,5,-2.0699999332428
BM,36.06,-118.39,1938,6,4.48699998855591
BM,36.06,-118.39,1938,7,8.01599979400635
BM,36.06,-118.39,1938,8,9.1230001449585
BM,36.06,-118.39,1938,9,6.65999984741211
BM,36.06,-118.39,1938,10,-1.21700000762939
BM,36.06,-118.39,1938,11,-4.29699993133545
BM,36.06,-118.39,1938,12,-4.14200019836426
BM,36.06,-118.39,1939,1,-7.5789999961853
BM,36.06,-118.39,1939,2,-12.5220003128052
BM,36.06,-118.39,1939,3,-6.90700006484985
BM,36.06,-118.39,1939,4,-2.23399996757507
BM,36.06,-118.39,1939,5,2.02699995040894
BM,36.06,-118.39,1939,6,3.47399997711182
BM,36.06,-118.39,1939,7,8.29199981689453
BM,36.06,-118.39,1939,8,9.50899982452393
BM,36.06,-118.39,1939,9,5.44700002670288
BM,36.06,-118.39,1939,10,-0.598999977111816
BM,36.06,-118.39,1939,11,-1.39800000190735
BM,36.06,-118.39,1939,12,-3.35199999809265
BM,36.06,-118.39,1941,1,-7.15199995040894
BM,36.06,-118.39,1941,2,-6.74900007247925
BM,36.06,-118.39,1941,3,-6.88800001144409
BM,36.06,-118.39,1941,4,-6.86499977111816
BM,36.06,-118.39,1941,5,-1.12600004673004
BM,36.06,-118.39,1941,6,2.12599992752075
BM,36.06,-118.39,1941,7,9.98600006103516
BM,36.06,-118.39,1941,8,10.5069999694824
BM,36.06,-118.39,1941,9,2.67700004577637
BM,36.06,-118.39,1941,10,-1.98000001907349
BM,36.06,-118.39,1941,11,-2.67600011825562
BM,36.06,-118.39,1941,12,-7.18100023269653
BM,36.06,-118.39,1942,1,-7.7960000038147
BM,36.06,-118.39,1942,2,-11.289999961853
BM,36.06,-118.39,1942,3,-8.4980001449585
BM,36.06,-118.39,1942,4,-5.38100004196167
BM,36.06,-118.39,1942,5,-3.57200002670288
BM,36.06,-118.39,1942,6,2.69099998474121
BM,36.06,-118.39,1942,7,8.77700042724609
BM,36.06,-118.39,1942,8,7.78599977493286
BM,36.06,-118.39,1942,9,3.47300004959106
BM,36.06,-118.39,1942,10,2.34899997711182
BM,36.06,-118.39,1942,11,-3.45199990272522
BM,36.06,-118.39,1942,12,-5.43599987030029
BM,36.06,-118.39,1943,1,-6.98400020599365
BM,36.06,-118.39,1943,2,-7.75899982452393
BM,36.06,-118.39,1943,3,-5.67899990081787
BM,36.06,-118.39,1943,4,-3.27600002288818
BM,36.06,-118.39,1943,5,-0.425999999046326
BM,36.06,-118.39,1943,6,0.839999973773956
BM,36.06,-118.39,1943,7,6.94399976730347
BM,36.06,-118.39,1943,8,5.20699977874756
BM,36.06,-118.39,1943,9,6.02299976348877
BM,36.06,-118.39,1943,10,0.670000016689301
BM,36.06,-118.39,1943,11,-3.01699995994568
BM,36.06,-118.39,1943,12,-5.83500003814697
BM,36.06,-118.39,1944,1,-8.62199974060059
BM,36.06,-118.39,1944,2,-10.9479999542236
BM,36.06,-118.39,1944,3,-8.98700046539307
BM,36.06,-118.39,1944,4,-6.28900003433228
BM,36.06,-118.39,1944,5,-1.53799998760223
BM,36.06,-118.39,1944,6,0.151999995112419
BM,36.06,-118.39,1944,7,5.34899997711182
BM,36.06,-118.39,1944,8,5.73099994659424
