site,lat,long,year,month,tmean
BM,36.06,-118.39,1949,6,11.1800003051758
BM,36.06,-118.39,1949,7,13.9200010299683
BM,36.06,-118.39,1949,8,12.6560001373291
BM,36.06,-118.39,1949,9,11.818000793457
BM,36.06,-118.39,1949,10,5.78800010681152
BM,36.06,-118.39,1949,11,5.84200048446655
BM,36.06,-118.39,1949,12,-2.42500019073486
BM,36.06,-118.39,1950,1,-5.44700002670288
BM,36.06,-118.39,1950,2,-0.392000019550323
BM,36.06,-118.39,1950,3,-0.114000007510185
BM,36.06,-118.39,1950,4,3.64500021934509
BM,36.06,-118.39,1950,5,5.75200033187866
BM,36.06,-118.39,1950,6,9.85700035095215
BM,36.06,-118.39,1950,7,15.0990009307861
BM,36.06,-118.39,1950,8,14.5530004501343
BM,36.06,-118.39,1950,9,9.94500064849854
BM,36.06,-118.39,1950,10,7.88300037384033
BM,36.06,-118.39,1950,11,5.23400020599365
BM,36.06,-118.39,1950,12,2.43500018119812
BM,36.06,-118.39,1951,1,-2.24100017547607
BM,36.06,-118.39,1951,2,-2.44600009918213
BM,36.06,-118.39,1951,3,-0.236000016331673
BM,36.06,-118.39,1951,4,2.40800023078918
BM,36.06,-118.39,1951,5,5.86800050735474
BM,36.06,-118.39,1951,6,10.4690008163452
BM,36.06,-118.39,1951,7,14.7200002670288
BM,36.06,-118.39,1951,8,14.0570011138916
BM,36.06,-118.39,1951,9,13.2290010452271
BM,36.06,-118.39,1951,10,5.53300046920776
BM,36.06,-118.39,1951,11,1.86800003051758
BM,36.06,-118.39,1951,12,-3.8360002040863
BM,36.06,-118.39,1952,1,-5.49500036239624
BM,36.06,-118.39,1952,2,-3.42200016975403
BM,36.06,-118.39,1952,3,-4.38800001144409
BM,36.06,-118.39,1952,4,1.97700011730194
BM,36.06,-118.39,1952,5,6.61600017547607
BM,36.06,-118.39,1952,6,8.23500061035156
BM,36.06,-118.39,1952,7,14.5570011138916
BM,36.06,-118.39,1952,8,14.7400007247925
BM,36.06,-118.39,1952,9,11.82200050354
BM,36.06,-118.39,1952,10,10.4570007324219
BM,36.06,-118.39,1952,11,-0.20600001513958
BM,36.06,-118.39,1952,12,-2.16600012779236
BM,36.06,-118.39,1953,1,1.32300007343292
BM,36.06,-118.39,1953,2,-1.25700008869171
BM,36.06,-118.39,1953,3,-0.403000026941299
BM,36.06,-118.39,1953,4,1.28100001811981
BM,36.06,-118.39,1953,5,1.38000011444092
BM,36.06,-118.39,1953,6,8.29200077056885
BM,36.06,-118.39,1953,7,15.4230003356934
BM,36.06,-118.39,1953,8,13.1720008850098
BM,36.06,-118.39,1953,9,12.8740005493164
BM,36.06,-118.39,1953,10,5.84500026702881
BM,36.06,-118.39,1953,11,2.90500020980835
BM,36.06,-118.39,1953,12,0.593000054359436
BM,36.06,-118.39,1954,1,-1.64200007915497
BM,36.06,-118.39,1954,2,2.6010000705719
BM,36.06,-118.39,1954,3,-2.40300011634827
BM,36.06,-118.39,1954,4,4.52400016784668
BM,36.06,-118.39,1954,5,8.66700077056885
BM,36.06,-118.39,1954,6,9.48700046539307
BM,36.06,-118.39,1954,7,15.5510005950928
BM,36.06,-118.39,1954,8,12.5250005722046
BM,36.06,-118.39,1954,9,11.1540002822876
BM,36.06,-118.39,1954,10,7.54800033569336
BM,36.06,-118.39,1954,11,4.20100021362305
BM,36.06,-118.39,1954,12,-0.38400000333786
BM,36.06,-118.39,1955,1,-5.11700010299683
BM,36.06,-118.39,1955,2,-3.19500017166138
BM,36.06,-118.39,1955,3,-0.573000013828278
BM,36.06,-118.39,1955,4,-0.237000018358231
BM,36.06,-118.39,1955,5,4.47600030899048
BM,36.06,-118.39,1955,6,9.10500049591064
BM,36.06,-118.39,1955,7,12.7690010070801
BM,36.06,-118.39,1955,8,15.7250003814697
BM,36.06,-118.39,1955,9,11.7070007324219
BM,36.06,-118.39,1955,10,8.05000019073486
BM,36.06,-118.39,1955,11,1.79500007629395
BM,36.06,-118.39,1955,12,-0.263000011444092
BM,36.06,-118.39,1958,1,-1.46700012683868
BM,36.06,-118.39,1958,2,-1.33100008964539
BM,36.06,-118.39,1958,3,-4.65900039672852
BM,36.06,-118.39,1958,4,0.893000066280365
BM,36.06,-118.39,1958,5,6.43300008773804
BM,36.06,-118.39,1958,6,8.76200008392334
BM,36.06,-118.39,1958,7,12.8560009002686
BM,36.06,-118.39,1958,8,15.6610012054443
BM,36.06,-118.39,1958,9,11.7810001373291
BM,36.06,-118.39,1958,10,9.21700000762939
BM,36.06,-118.39,1958,11,2.41800022125244
BM,36.06,-118.39,1958,12,3.73800015449524
BM,36.06,-118.39,1959,1,-0.508000016212463
BM,36.06,-118.39,1959,2,-4.31500005722046
BM,36.06,-118.39,1959,3,1.30900001525879
BM,36.06,-118.39,1959,4,5.15200042724609
BM,36.06,-118.39,1959,5,3.72500014305115
BM,36.06,-118.39,1959,6,11.6650009155273
BM,36.06,-118.39,1959,7,15.8050003051758
BM,36.06,-118.39,1959,8,13.8110008239746
BM,36.06,-118.39,1959,9,9.95800018310547
BM,36.06,-118.39,1959,10,8.39500045776367
BM,36.06,-118.39,1959,11,5.00900030136108
BM,36.06,-118.39,1959,12,0.976000070571899
BM,36.06,-118.39,1961,1,0.560000002384186
BM,36.06,-118.39,1961,2,-0.934000015258789
BM,36.06,-118.39,1961,3,-1.7610000371933
BM,36.06,-118.39,1961,4,2.93600010871887
BM,36.06,-118.39,1961,5,4.02200031280518
BM,36.06,-118.39,1961,6,12.6430006027222
BM,36.06,-118.39,1961,7,15.5450010299683
BM,36.06,-118.39,1961,8,14.7040004730225
BM,36.06,-118.39,1961,9,10.1990003585815
BM,36.06,-118.39,1961,10,6.64700031280518
BM,36.06,-118.39,1961,11,1.14100003242493
BM,36.06,-118.39,1961,12,-2.07500004768372
BM,36.06,-118.39,1962,1,-1.36100006103516
BM,36.06,-118.39,1962,2,-3.43300008773804
BM,36.06,-118.39,1962,3,-4.68300008773804
BM,36.06,-118.39,1962,4,4.77500009536743
BM,36.06,-118.39,1962,5,3.0530002117157
BM,36.06,-118.39,1962,6,10.07200050354
BM,36.06,-118.39,1962,7,13.4090003967285
BM,36.06,-118.39,1962,8,14.2730007171631
BM,36.06,-118.39,1962,9,12.0040006637573
BM,36.06,-118.39,1962,10,7.69600057601929
BM,36.06,-118.39,1962,11,3.33400011062622
BM,36.06,-118.39,1962,12,1.78600013256073
BM,36.06,-118.39,1963,1,-0.952000021934509
BM,36.06,-118.39,1963,2,2.00400018692017
BM,36.06,-118.39,1963,3,-2.39300012588501
BM,36.06,-118.39,1963,4,-1.49000012874603
BM,36.06,-118.39,1963,5,5.73800039291382
BM,36.06,-118.39,1963,6,8.04600048065186
BM,36.06,-118.39,1963,7,13.0660009384155
BM,36.06,-118.39,1963,8,13.1820001602173
BM,36.06,-118.39,1963,9,11.8520002365112
BM,36.06,-118.39,1963,10,7.24500036239624
BM,36.06,-118.39,1963,11,1.8160001039505
BM,36.06,-118.39,1963,12,0.852000057697296
BM,36.06,-118.39,1964,1,-2.3360002040863
BM,36.06,-118.39,1964,2,-1.62000012397766
BM,36.06,-118.39,1964,3,-3.12500023841858
BM,36.06,-118.39,1964,4,0.583000004291534
BM,36.06,-118.39,1964,5,3.88300013542175
BM,36.06,-118.39,1964,6,9.09500026702881
BM,36.06,-118.39,1964,7,14.0890007019043
BM,36.06,-118.39,1964,8,14.9010009765625
BM,36.06,-118.39,1964,9,10.6010007858276
BM,36.06,-118.39,1964,10,10.1740007400513
BM,36.06,-118.39,1964,11,-0.636000037193298
BM,36.06,-118.39,1964,12,-1.41700005531311
BM,36.06,-118.39,1965,1,-1.43500006198883
BM,36.06,-118.39,1965,2,-0.467000007629395
BM,36.06,-118.39,1965,3,-1.51700007915497
BM,36.06,-118.39,1965,4,0.76800000667572
BM,36.06,-118.39,1965,5,3.92400026321411
BM,36.06,-118.39,1965,6,7.68000030517578
BM,36.06,-118.39,1965,7,13.3520002365112
BM,36.06,-118.39,1965,8,14.0960006713867
BM,36.06,-118.39,1965,9,8.58000087738037
BM,36.06,-118.39,1965,10,9.99100017547607
BM,36.06,-118.39,1965,11,2.21300005912781
BM,36.06,-118.39,1965,12,-2.13000011444092
BM,36.06,-118.39,1966,1,-3.13100004196167
BM,36.06,-118.39,1966,2,-3.58200025558472
BM,36.06,-118.39,1966,3,1.17000007629395
BM,36.06,-118.39,1966,4,5.25400018692017
BM,36.06,-118.39,1966,5,8.58300018310547
BM,36.06,-118.39,1966,6,10.8430004119873
BM,36.06,-118.39,1966,7,13.8360004425049
BM,36.06,-118.39,1966,8,16.1260013580322
BM,36.06,-118.39,1966,9,11.5930004119873
BM,36.06,-118.39,1966,10,8.07700061798096
BM,36.06,-118.39,1966,11,2.58000016212463
BM,36.06,-118.39,1966,12,-0.0590000040829182
BM,36.06,-118.39,1969,1,-0.64900004863739
BM,36.06,-118.39,1969,2,-4.6850004196167
BM,36.06,-118.39,1969,3,-2.28800010681152
BM,36.06,-118.39,1969,4,2.50300002098083
BM,36.06,-118.39,1969,5,7.14700031280518
BM,36.06,-118.39,1969,6,8.6230001449585
BM,36.06,-118.39,1969,7,14.4750003814697
BM,36.06,-118.39,1969,8,16.4210014343262
BM,36.06,-118.39,1969,9,12.7850008010864
BM,36.06,-118.39,1969,10,4.79700040817261
