year,winter_ppt,winter_tmin,winter_tmax,winter_tmean,winter_td_mean,winter_vpdmin,winter_vpdmax
1921,685.9630012512213,-4.124750036746263,5.949124902486803,0.912000015378,-8.95137494802476,1.773375004529952,6.084374964237213
1922,830.5530090332043,-4.836249902844426,5.734000001102683,0.44925003405660247,-9.615250051021583,1.7234999909996984,6.274874925613399
1923,664.2279996871944,-4.49537504836917,5.816125094890595,0.6603750698268418,-9.445374906063087,1.7146250084042554,6.087249875068665
1924,303.35599803924543,-4.834249958395956,7.54649999737739,1.3560000881552696,-9.400749862194065,1.5513750016689274,7.32662498950958
1925,768.8450050353997,-4.885875068604946,6.526125013828275,0.820250064134599,-8.813749909400931,1.394749976694583,6.3757500052452105
1926,553.077000617981,-2.9879999756813036,8.553499937057493,2.7823751121759424,-8.096124887466441,1.797499999403955,7.789999902248386
1927,796.685006141662,-4.799874998629093,6.540999993681911,0.8706250563263906,-8.2912500500679,1.3977499827742585,6.591125041246412
1928,588.2779979705812,-4.392625093460084,9.458250105381019,2.5326251462101936,-8.227750003337865,1.4192499890923513,8.660999953746801
1929,518.1330024451021,-6.4471250325441405,7.80562508106232,0.6793750226497659,-9.997500181198108,1.2533749788999566,7.822875022888187
1930,539.0119876861572,-4.451750010251997,9.279250025749198,2.41337511688471,-8.635625123977656,1.5501249954104424,8.636625111103049
1931,422.1299995183945,-4.173125036060809,9.44524994492531,2.6357501000165913,-8.745624929666514,1.5976250022649752,8.938749969005588
1932,912.0870165824886,-6.38375008851289,7.072999954223635,0.3445000350475314,-9.404625058174142,1.1462500020861628,6.93699997663498
1933,579.4470109939575,-6.05274999700487,7.17475003004074,0.5612500505521886,-10.163999855518338,1.5073749944567683,7.386875033378603
1934,434.20899724960344,-2.3072500079870224,11.450874984264367,4.5712502002716064,-7.8422500789165515,2.104749940335752,10.361750066280363
1935,877.6699962615965,-4.842750027775763,7.901499927043912,1.5291250981390496,-8.24150002002716,1.3751249760389312,7.368500053882595
1936,817.5129976272583,-4.853874947875736,8.986500024795538,2.0661250762641425,-8.685625076293954,1.4471249803900728,8.35700011253357
1937,994.6130090132359,-5.849999919533733,8.257124990224844,1.2036249781958743,-9.706499874591817,1.4231250062584873,8.310999989509588
1938,1224.3420000076308,-4.8592500910162935,8.327625066041941,1.733875047415494,-8.206625044345854,1.3864999711513515,7.65737503767013
1939,516.3250045776381,-4.608875066041947,8.679500013589852,2.0350001379847527,-9.103624939918518,1.6448750048875798,8.110625028610233
1940,943.4270100593574,-3.4327500164508806,9.91074997186661,3.2388752060942347,-7.759374976158137,1.7043749876320378,8.846000015735628
1941,1022.1609878540039,-4.524249963462353,7.986250102519991,1.7310000406578172,-7.263249933719637,1.1858749911189086,6.976500034332275
1942,843.7440166473386,-6.046750068664549,6.618625044822692,0.2858750410377985,-8.378249883651735,0.99812500551343,6.607624948024749
1943,1047.2340006828315,-3.832874968647956,9.059874951839447,2.613250182941556,-7.494750022888184,1.5102500095963487,7.5152500867843575
1944,620.5289993286138,-5.57075002044439,7.5526250898838,0.9911250704899438,-7.972624957561503,0.9031250010011711,7.770624935626985
1945,840.2730140686037,-6.2347499355673754,6.44550001621247,0.10574999917298464,-7.998500019311901,0.8614999912679191,5.911875039339065
1946,686.724997520446,-5.549374878406527,7.217624962329858,0.8341250419616706,-8.229874879121777,1.1261249780654914,6.592375069856643
1947,579.3580036163333,-5.078500032424927,7.643249928951268,1.2823749966919418,-8.153999984264379,1.2647499963641167,7.320750057697296
1948,561.2050008773804,-6.226874846965073,6.456375211477282,0.11500000208616154,-8.644624918699273,0.9091249997727576,6.411250114440918
1949,596.157003879548,-6.745749977882957,5.9257499575615,-0.4099999964237201,-7.706625118851656,0.7202499842969707,6.35737505555153
1950,662.6160087585446,-4.775999942328785,7.937875032424922,1.5811251122504466,-7.523249983787539,1.0869999974966043,7.7506249547004735
1951,818.1919960975652,-3.802750021219255,8.529625087976452,2.3631251510232683,-6.498875111341479,1.0235000056563879,7.703250050544744
1952,1097.780992507935,-6.446500003337863,6.159750030026783,-0.14337499439716384,-7.746499955654139,0.7242499976127871,6.525499910116194
1953,673.7740023136136,-4.996624976396562,7.598625093698508,1.301125084981325,-7.950499892234805,1.0743749961256992,7.461124956607815
1954,656.8900041580198,-3.778875045478344,9.051999986171733,2.6362501680850983,-7.667749851942068,1.2801250070333485,8.306375086307526
1955,564.1999907493589,-5.625749975442883,7.305125027894973,0.8398750685155391,-8.65337499976159,0.9735000114887948,7.246124982833861
1956,1045.267979860306,-4.542124968022111,7.395124882459633,1.4262500330805783,-7.2293749451637215,1.0078749837994103,6.927500069141383
1957,613.9600033760066,-4.928999915719037,7.045625030994411,1.0583750242367387,-7.242499992251398,0.849374996250844,6.4422500133514395
1958,1164.7579994201653,-5.464250020682812,6.505124941468242,0.5203749760985368,-6.488499969244002,0.5407500052824624,6.030374974012377
1959,321.296002388001,-3.6888750046491676,8.873625069856642,2.592000111937522,-7.397500008344651,1.3173749968409534,8.169874936342234
1960,533.3360047647734,-4.43062509596348,8.109875014051802,1.8393750935792912,-8.225374996662138,1.3233749847859144,7.901875048875814
1961,398.2030043601993,-4.640624962747097,7.4577499032020524,1.408500056713819,-8.09450000524522,1.077250016853213,7.057875096797943
1962,815.6440105438227,-5.347875036299223,6.3633751124143725,0.5080000460147851,-8.872249901294705,1.1821249946951853,6.703749895095816
1963,834.7199935913084,-3.6347500402480355,7.566125005483635,1.9653751403093351,-8.51424992084502,1.523999996483327,7.283874988555907
1964,550.391008377075,-5.126624956727029,6.951374948024752,0.9122500121593475,-9.056249961256983,1.1342499926686278,6.9153749346733075
1965,898.006999969483,-4.262500017881393,6.610750049352642,1.174250096082691,-6.59012497961521,0.9178749942220752,6.3175001144409215
1966,491.8600087165832,-3.4481249600648876,8.040499985218045,2.29600003361702,-8.737499952316297,1.7196250110864622,8.07850003242493
1967,1277.7259922027579,-4.131874978542329,7.064125061035158,1.4662501267157495,-7.752875089645382,1.216375007759779,6.817375034093855
1968,479.8570022583009,-3.640249986201525,7.951125040650369,2.1553750298917294,-7.070625156164173,1.3011249862611303,7.378250002861028
1969,1503.6090259552002,-4.56712508201599,6.810250014066697,1.1216249912977225,-7.504874974489208,1.1258749887347224,6.731875002384182
1970,620.782000541687,-4.018874954432247,7.652374982833862,1.8166251387447132,-7.734874963760376,1.2106249965727345,7.218499958515169
