site,lat,long,year,month,vpdmin
BM,36.06,-118.39,1919,3,1.14900004863739
BM,36.06,-118.39,1919,4,1.76499998569489
BM,36.06,-118.39,1919,5,2.33400011062622
BM,36.06,-118.39,1919,6,4.58599996566772
BM,36.06,-118.39,1919,7,4.72599983215332
BM,36.06,-118.39,1919,8,4.94799995422363
BM,36.06,-118.39,1919,9,3.56399989128113
BM,36.06,-118.39,1919,10,2.40899991989136
BM,36.06,-118.39,1919,11,1.85300004482269
BM,36.06,-118.39,1919,12,1.95799994468689
BM,36.06,-118.39,1920,1,1.56299996376038
BM,36.06,-118.39,1920,2,1.35000002384186
BM,36.06,-118.39,1920,3,1.2849999666214
BM,36.06,-118.39,1920,4,1.91100001335144
BM,36.06,-118.39,1920,5,1.89499998092651
BM,36.06,-118.39,1920,6,2.57399988174438
BM,36.06,-118.39,1920,7,4.59999990463257
BM,36.06,-118.39,1920,8,4.58300018310547
BM,36.06,-118.39,1920,9,3.93199992179871
BM,36.06,-118.39,1920,10,2.3840000629425
BM,36.06,-118.39,1920,11,2.15700006484985
BM,36.06,-118.39,1920,12,1.67999994754791
BM,36.06,-118.39,1921,1,0.978999972343445
BM,36.06,-118.39,1921,2,1.05400002002716
BM,36.06,-118.39,1921,3,1.93400001525879
BM,36.06,-118.39,1921,4,1.63300001621246
BM,36.06,-118.39,1921,5,2.3659999370575
BM,36.06,-118.39,1921,6,4.38399982452393
BM,36.06,-118.39,1921,7,3.21099996566772
BM,36.06,-118.39,1921,8,5.9850001335144
BM,36.06,-118.39,1921,9,2.66000008583069
BM,36.06,-118.39,1921,10,4.45599985122681
BM,36.06,-118.39,1921,11,2.41799998283386
BM,36.06,-118.39,1921,12,1.71700000762939
BM,36.06,-118.39,1922,1,0.930000007152557
BM,36.06,-118.39,1922,2,0.680000007152557
BM,36.06,-118.39,1922,3,0.929000020027161
BM,36.06,-118.39,1922,4,1.81500005722046
BM,36.06,-118.39,1922,5,0.842999994754791
BM,36.06,-118.39,1922,6,3.41499996185303
BM,36.06,-118.39,1922,7,4.48400020599365
BM,36.06,-118.39,1922,8,4.28200006484985
BM,36.06,-118.39,1922,9,4.0460000038147
BM,36.06,-118.39,1922,10,2.41000008583069
BM,36.06,-118.39,1922,11,1.94099998474121
BM,36.06,-118.39,1922,12,2.03399991989136
BM,36.06,-118.39,1923,1,1.442999958992
BM,36.06,-118.39,1923,2,0.897000014781952
BM,36.06,-118.39,1923,3,1.45799994468689
BM,36.06,-118.39,1923,4,1.06500005722046
BM,36.06,-118.39,1923,5,2.46900010108948
BM,36.06,-118.39,1923,6,2.51500010490417
BM,36.06,-118.39,1923,7,1.93799996376038
BM,36.06,-118.39,1923,8,6.73299980163574
BM,36.06,-118.39,1923,9,4.23999977111816
BM,36.06,-118.39,1923,10,1.44799995422363
BM,36.06,-118.39,1923,11,1.74300003051758
BM,36.06,-118.39,1923,12,1.44799995422363
BM,36.06,-118.39,1925,1,1.4099999666214
BM,36.06,-118.39,1925,2,0.898999989032745
BM,36.06,-118.39,1925,3,1.47899997234344
BM,36.06,-118.39,1925,4,0.875
BM,36.06,-118.39,1925,5,1.0809999704361
BM,36.06,-118.39,1925,6,1.99000000953674
BM,36.06,-118.39,1925,7,3.20199990272522
BM,36.06,-118.39,1925,8,2.31399989128113
BM,36.06,-118.39,1925,9,2.94199991226196
BM,36.06,-118.39,1925,10,1.84399998188019
BM,36.06,-118.39,1925,11,2.44000005722046
BM,36.06,-118.39,1925,12,2.05999994277954
BM,36.06,-118.39,1926,1,1.75999999046326
BM,36.06,-118.39,1926,2,1.27900004386902
BM,36.06,-118.39,1926,3,1.33700001239777
BM,36.06,-118.39,1926,4,1.2389999628067
BM,36.06,-118.39,1926,5,2.4210000038147
BM,36.06,-118.39,1926,6,5.99200010299683
