n,sigma,betas,model,rmse_forecast,rmse_beta,rmse_phi,rmse_sigma,divergent_trans,fr_true_pos,fr_false_pos,phi_true_pos,phi_false_pos,beta_true_pos,beta_false_pos,TPR_threshold,mod_run,prior
1095,1,0,hs,3.28949649432778,1.4178499143845,0.131738712775975,0.385064200848433,0,0.333333333333333,0.0158730158730159,1,0.2,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1020.rds,NA
1095,1,0,gauss,7.73554127976405,17033.7531146519,0.185092525435192,0.541692601347596,91,0.333333333333333,0.243386243386243,1,0.7,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1020.rds,NA
1095,1,0,arima,7.59342354848773,0.383727296766046,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,2,hs,8.03732771073254,1.15436262866899,0.0796934104182559,0.219547109747405,0,0.428571428571429,0.00515463917525773,0.8,0.2,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1022.rds,NA
730,1,2,gauss,5.50245289974076,17844.0898768345,0.0992270883243727,0.224357341740483,56,0.428571428571429,0.216494845360825,0.8,0.4,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1022.rds,NA
730,1,2,arima,3.85424108689331,3.59952498340351,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,4,hs,2.14915819176011,0.59192797672929,0.116962213893646,0.186958035815961,0,0.75,0.0050761421319797,0.2,0.2,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1024.rds,NA
365,1,4,gauss,10.5428871702356,12697.4105662865,0.226396605465828,0.0946320558132738,63,0.25,0.243654822335025,0,0.4,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1024.rds,NA
365,1,4,arima,2.84840604290183,4.6741803391169,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,4,hs,2.41020099483474,0.600765856138171,0.0324685723770957,0.100058120982096,1,0,0,0.8,0,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1025.rds,NA
730,1,4,gauss,2.70093698355135,19605.6471840973,0.0784521385110615,0.104075927748306,1135,0,0.238578680203046,0.8,0.1,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1025.rds,NA
730,1,4,arima,3.95474675025488,3.26802975820942,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,4,hs,2.82049709097912,1.03143174863981,0.0269758834252949,0.0237868938820302,1,0,0,0.8,0,0.75,1,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1026.rds,NA
1095,1,4,gauss,3.95789306600118,9506.27212938686,0.0537714166653382,0.0228311513883315,86,0,0.182741116751269,1,0.4,0.75,1,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1026.rds,NA
1095,1,4,arima,2.1584784862643,6.4831441805485,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,0,hs,2.95866709983026,1.65923967791614,0.0856242317629264,0.227877086325812,0,0.181818181818182,0.0105263157894737,1,0.1,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1028.rds,NA
730,1,0,gauss,6.87409030520425,31461.5383615444,0.125849667237935,0.353982932515489,84,0.181818181818182,0.205263157894737,0.8,0.4,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1028.rds,NA
730,1,0,arima,4.64555327521933,0.518135350021702,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,2,hs,3.97620350258127,1.25522288542042,0.193676323636724,0.203276344976422,0,0.285714285714286,0.0154639175257732,0.8,0.1,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1030.rds,NA
365,1,2,gauss,11.7236188752222,7912.97550828492,0.261442594776961,0.236891244747853,198,0.285714285714286,0.154639175257732,0.4,0.5,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1030.rds,NA
365,1,2,arima,6.07698085206304,3.54232653418757,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,2,hs,3.28244652590229,1.17583673557502,0.20574569963874,0.242915547287714,1,0.25,0,0.6,0.1,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1031.rds,NA
730,1,2,gauss,3.64867957714077,7085.55643142334,0.32496753562057,0.35554458922698,1150,0.25,0.253886010362694,0.6,0.8,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1031.rds,NA
730,1,2,arima,5.09467095749322,1.63871568346244,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,4,hs,5.26795997065715,0.737814514461071,0.200956577651875,0.45484719717223,0,0,0,0.2,0.1,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1034.rds,NA
730,1,4,gauss,18.2845554761782,8872.90816033072,0.361568721112258,0.868519583173807,311,0,0.187817258883249,0.4,0.8,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1034.rds,NA
730,1,4,arima,10.747571295785,5.0818648398757,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,4,hs,2.80215536683321,0.641031134494452,0.0641329455353621,0.180527644308146,10,1,0,0.8,0,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1035.rds,NA
1095,1,4,gauss,3.02662237247795,49.5342239471651,0.0739365089057287,0.194701361060351,91,0.666666666666667,0.171717171717172,0.8,0.4,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1035.rds,NA
1095,1,4,arima,5.16722401015952,2.39475284602179,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,0,hs,3.28319873063326,1.15534159917183,0.102531695897571,0.35603427713115,0,0.5,0.00523560209424084,0.2,0,NA,0,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1036.rds,NA
365,1,0,gauss,19.1700981596242,43532.9108779111,0.315043309320147,0.901425650754902,107,0.4,0.146596858638743,0.6,0.6,NA,1,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1036.rds,NA
365,1,0,arima,11.4585309852058,2.95444249370065,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,0,hs,3.03312379411963,1.84721821275689,0.183053829255181,0.351794653897772,0,0.25,0.0158730158730159,1,0.5,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1037.rds,NA
