"","ArrayTaskID","numTrials","n","K","num_strong","prob_cycle","trend_fraction","freq","sigma","probWeakCorr","numStrongCorr","strongSelf","corrLevel","nameID","RMSEaic","RMSEstan","TPRaic","TNRaic","TPRstan","TNRstan"
"2506",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",1.29260193407435,0.884616035003702,1,0.333333333333333,0.555555555555556,1
"2507",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.945017335873951,0.963645150626208,1,0.577777777777778,0.75,1
"2508",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",1.07692655611853,0.916886066473724,1,0.377777777777778,0.8,0.955555555555556
"2509",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.730476297627938,0.84084541578988,1,0.577777777777778,0.555555555555556,0.926829268292683
"2510",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.679549414799161,0.886751221357174,0.8,0.6,0.666666666666667,0.951219512195122
"2511",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.797669436656362,0.96797862495728,1,0.622222222222222,0.833333333333333,0.977272727272727
"2512",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.697163314192457,0.912424590583997,1,0.6,0.833333333333333,0.954545454545455
"2513",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.742794047403752,0.845989152577021,1,0.8,0.666666666666667,0.951219512195122
"2514",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.730679453333253,0.90234943059088,1,0.755555555555556,1,0.955555555555556
"2515",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.726570766012603,1.09423147584957,1,0.733333333333333,0.285714285714286,0.976744186046512
"2516",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",2.09434406009295,1.00226670841406,1,0.133333333333333,0.8,1
"2517",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.901776399188688,0.930455262095015,1,0.266666666666667,0.875,1
"2518",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.752035860110236,0.927754858424808,0.8,0.755555555555556,0.714285714285714,0.953488372093023
"2519",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.845386582551552,0.873140545861644,1,0.466666666666667,0.625,0.880952380952381
"2520",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.963500893685309,0.919201248277692,1,0.333333333333333,0.666666666666667,1
"2521",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",1.00361141134187,0.910321275634608,1,0.444444444444444,0.857142857142857,0.976744186046512
"2522",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.885356933806435,0.965335975136816,1,0.666666666666667,0.75,1
"2523",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.766229185807208,0.809476856009528,1,0.666666666666667,1,0.955555555555556
"2524",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.822616322711836,1.0182708572701,1,0.688888888888889,0.666666666666667,0.951219512195122
"2525",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.94602353279823,0.845328703386661,1,0.511111111111111,0.833333333333333,0.909090909090909
"2526",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",1.07621705002571,0.995236854827985,1,0.688888888888889,0.5,1
"2527",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.893375868386773,0.911472332613437,1,0.666666666666667,0.5,0.975
"2528",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.860194331913793,0.807380716101509,1,0.288888888888889,0.888888888888889,0.951219512195122
"2529",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.690369076146682,0.859463635819305,1,0.466666666666667,0.875,0.976190476190476
